Year,Match Number,Date,Stadium,City,Match,Match Details,Batting Team,Total Score,Column1,Bowler Name,Runs,Balls,Fours,Sixes,Strike Rate,Column2,Column3
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,Stuart Broad,10,0,66,2,0,1,6.6
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,Chris Woakes,10,0,65,1,0,0,6.5
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,Steven Finn,10,0,71,5,0,1,7.1
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,Moeen Ali,9,0,60,0,0,0,6.67
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,Joe Root,1,0,11,0,0,0,11
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Mitchell Starc,9,1,47,2,0,0,5.22
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Josh Hazlewood,6.5,0,45,0,0,3,6.92
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Mitchell Johnson,8,0,36,2,0,7,4.5
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Mitchell Marsh,9,0,33,5,0,0,3.67
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Shane Watson,3,0,13,0,0,0,4.33
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Glenn Maxwell,4,0,33,0,0,1,8.25
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",Australia,231,10,Steven Smith,2,0,19,0,0,0,9.5
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Tinashe Panyangara,10,2,73,1,0,3,7.3
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Tendai Chatara,10,1,71,1,1,5,7.1
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Solomon Mire,6,0,61,0,0,2,10.17
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Elton Chigumbura,4,0,30,1,1,2,7.5
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Sean Williams,8,0,44,0,0,3,5.5
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Tafadzwa Kamungozi,8,0,34,1,0,0,4.25
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Sikandar Raza,3,0,19,0,0,1,6.33
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",Zimbabwe,339,4,Hamilton Masakadza,1,0,6,0,0,0,6
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Vernon Philander,8,0,30,2,0,3,3.75
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Morne Morkel,8.2,1,49,2,0,2,5.98
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Dale Steyn,9,0,64,1,0,0,7.11
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Farhaan Behardien,5,0,40,0,0,1,8
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Jean-Paul Duminy,8,0,45,1,0,2,5.63
2015,3rd Match,15-February-2015,Seddon Park,"Hamilton, New Zealand",South Africa vs Zimbabwe,"3rd Match, Pool B (D/N), Hamilton, February 15, 2015,
ICC Cricket World Cup",South Africa,277,10,Imran Tahir,10,0,36,3,0,1,3.6
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Mohammad Irfan,10,0,58,0,1,2,5.8
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Sohail Khan,10,0,55,5,0,1,5.5
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Shahid Afridi,8,0,50,0,0,0,6.25
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Wahab Riaz,10,0,49,1,0,0,4.9
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Yasir Shah,8,0,60,0,0,0,7.5
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",Pakistan,300,7,Haris Sohail,4,0,26,0,0,0,6.5
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Umesh Yadav,10,0,50,2,0,5,5
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Mohammed Shami,9,1,35,4,0,4,3.89
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Mohit Sharma,9,0,35,2,1,0,3.89
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Suresh Raina,1,0,6,0,0,0,6
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Ravichandran Ashwin,8,3,41,1,0,1,5.13
2015,4th Match,15-February-2015,Adelaide Oval,"Adelaide, Australia",India vs Pakistan,"4th Match, Pool B (D/N), Adelaide, February 15, 2015,
ICC Cricket World Cup",India,224,10,Ravindra Jadeja,10,0,56,1,0,0,5.6
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,John Mooney,7,1,59,1,0,3,8.43
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,Max Sorensen,8,0,64,1,0,1,8
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,Andy McBrine,10,1,26,0,0,0,2.6
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,Kevin O Brien,9,0,71,1,0,3,7.89
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,George Dockrell,10,0,50,3,0,1,5
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",Ireland,304,7,Paul Stirling,6,0,33,0,0,1,5.5
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Jason Holder,9,1,44,0,0,6,4.89
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Kemar Roach,6,0,52,0,0,1,8.67
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Jerome Taylor,8.5,0,71,3,0,1,8.35
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Andre Russell,6,0,33,0,0,1,5.5
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Chris Gayle,8,0,41,1,0,0,5.13
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Daren Sammy,3,0,25,0,0,0,8.33
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Marlon Samuels,4,0,25,1,0,0,6.25
2015,5th Match,16-February-2015,Saxton Oval,"Nelson, New Zealand",West Indies vs Ireland,"5th Match, Pool B, Nelson, February 16, 2015,
ICC Cricket World Cup",West Indies,307,6,Lendl Simmons,1,0,12,0,0,0,12
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Tim Southee,8,3,35,2,0,0,4.38
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Trent Boult,6,1,21,2,0,4,3.5
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Adam Milne,7,0,32,0,0,1,4.57
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Daniel Vettori,8.2,1,24,3,0,0,2.93
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Grant Elliott,2,0,11,0,0,0,5.5
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",New Zealand,142,10,Corey Anderson,5,1,18,3,0,0,3.6
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",Scotland,146,7,Iain Wardlaw,9.5,0,57,3,0,1,6
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",Scotland,146,7,Rob Taylor,4,0,27,0,0,2,6.75
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",Scotland,146,7,Josh Davey,7,0,40,3,0,2,5.71
2015,6th Match,17-February-2015,University Oval,"Dunedin, New Zealand",Scotland vs New Zealand,"6th Match, Pool A, Dunedin, February 17, 2015,
ICC Cricket World Cup",Scotland,146,7,Majid Haq,4,0,21,1,0,0,5.25
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Hamid Hassan,10,0,61,2,0,1,6.1
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Shapoor Zadran,7,1,20,2,0,0,2.86
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Aftab Alam,9,0,55,2,0,3,6.11
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Mirwais Ashraf,9,3,32,2,0,1,3.56
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Mohammad Nabi,9,0,58,1,0,1,6.44
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Javed Ahmadi,4.5,0,32,0,0,0,7.11
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Afghanistan,267,10,Samiullah Shinwari,1.1,0,2,0,0,0,1.82
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Mashrafe Mortaza,9,2,20,3,0,0,2.22
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Rubel Hossain,6,0,27,1,0,1,4.5
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Taskin Ahmed,7,0,23,1,0,0,3.29
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Shakib Al Hasan,8.5,0,43,2,0,0,5.06
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Mahmudullah,8,1,31,1,0,1,3.88
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Soumya Sarkar,3,0,13,0,0,0,4.33
2015,7th Match,18-February-2015,Manuka Oval,"Canberra, Australia",Bangladesh vs Afghanistan,"7th Match, Pool A (D/N), Canberra, February 18, 2015,
ICC Cricket World Cup",Bangladesh,162,10,Sabbir Rahman,1,0,4,0,0,0,4
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Tinashe Panyangara,9,0,66,0,0,5,7.33
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Tendai Chatara,10,1,42,3,1,3,4.2
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Solomon Mire,8,0,39,2,0,0,4.88
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Tafadzwa Kamungozi,10,0,53,0,0,0,5.3
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Elton Chigumbura,1,0,12,0,0,6,12
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Sean Williams,8,0,43,2,0,1,5.38
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Sikandar Raza,3,0,11,0,0,0,3.67
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",Zimbabwe,285,7,Hamilton Masakadza,1,0,9,0,0,0,9
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Mohammad Naveed,10,1,60,1,0,4,6
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Amjad Javed,9,0,49,1,0,5,5.44
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Nasir Aziz,10,0,53,1,0,0,5.3
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Mohammad Tauqir,9,0,51,2,0,1,5.67
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Krishnachandran Karate,9,0,59,1,0,0,6.56
2015,8th Match,19-February-2015,Saxton Oval,"Nelson, New Zealand",United Arab Emirates vs Zimbabwe,"8th Match, Pool B, Nelson, February 19, 2015,
ICC Cricket World Cup",United Arab Emirates,286,6,Rohan Mustafa,1,0,8,0,0,0,8
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",New Zealand,123,10,Tim Southee,9,0,33,7,0,3,3.67
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",New Zealand,123,10,Trent Boult,10,2,32,1,0,1,3.2
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",New Zealand,123,10,Adam Milne,5.2,1,25,1,0,2,4.81
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",New Zealand,123,10,Daniel Vettori,7,0,19,1,0,0,2.71
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",New Zealand,123,10,Corey Anderson,2,0,8,0,0,1,4
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",England,125,2,James Anderson,5,0,37,0,0,3,7.4
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",England,125,2,Stuart Broad,2.2,0,27,0,0,5,12.27
2015,9th Match,20-February-2015,Sky Stadium,"Wellington, New Zealand",England vs New Zealand,"9th Match, Pool A (D/N), Wellington, February 20, 2015,
ICC Cricket World Cup",England,125,2,Steven Finn,2,0,49,0,0,0,24.5
